Scin,Name,Project Site Name
SR329398,"Santa Ana, CA","Santa Ana, CA"
EA147553,"Santa Ana, CA","Santa Ana, CA"
LL931178,"Santa Ana, CA","Santa Ana, CA"
LW226948,"Santa Ana, CA","Santa Ana, CA"
WA829590,"Santa Ana, CA","Santa Ana, CA"
OK418108,"Santa Ana, CA","Santa Ana, CA"
OA652961,"Santa Ana, CA","Santa Ana, CA"
CS330609,"Santa Ana, CA","Santa Ana, CA"
LW126521,"Santa Ana, CA","Santa Ana, CA"
EX326324,"Santa Ana, CA","Santa Ana, CA"
MX454663,"Santa Ana, CA","Santa Ana, CA"
MI602651,"Santa Ana, CA","Santa Ana, CA"
AZ693978,"Santa Ana, CA","Santa Ana, CA"
UG649533,"Santa Ana, CA","Santa Ana, CA"
AD970381,"Redondo Beach, CA","Redondo Beach, CA"
JM861782,"Redondo Beach, CA","Redondo Beach, CA"
JI381617,"Redondo Beach, CA","Redondo Beach, CA"
VM399354,"Redondo Beach, CA","Redondo Beach, CA"
WK499594,"Redondo Beach, CA","Redondo Beach, CA"
OJ567671,"Redondo Beach, CA","Redondo Beach, CA"
FK246774,"Redondo Beach, CA","Redondo Beach, CA"
RS294860,"Redondo Beach, CA","Redondo Beach, CA"
PC773830,"Rancho Cucamonga, CA","Rancho Cucamonga, CA"
QP509507,"Rancho Cucamonga, CA","Rancho Cucamonga, CA"
BE133777,"Rancho Cucamonga, CA","Rancho Cucamonga, CA"
QT774883,"Rancho Cucamonga, CA","Rancho Cucamonga, CA"
TN201009,"Rancho Cucamonga, CA","Rancho Cucamonga, CA"
PI631146,"Rancho Cucamonga, CA","Rancho Cucamonga, CA"
BM124981,"Rancho Cucamonga, CA","Rancho Cucamonga, CA"
XM152100,"Rancho Cucamonga, CA","Rancho Cucamonga, CA"
NE941397,"Rancho Cucamonga, CA","Rancho Cucamonga, CA"
UM217973,"Rancho Cucamonga, CA","Rancho Cucamonga, CA"
RD110086,"Rancho Cucamonga, CA","Rancho Cucamonga, CA"
JF154337,"Rancho Cucamonga, CA","Rancho Cucamonga, CA"
CX683990,"Oxnard, CA","Oxnard, CA"
LN376815,"Oxnard, CA","Oxnard, CA"
RA586105,"Oxnard, CA","Oxnard, CA"
NZ946762,"Oxnard, CA","Oxnard, CA"
XK532662,"Oxnard, CA","Oxnard, CA"
PC879353,"Oxnard, CA","Oxnard, CA"
BH229764,"Oxnard, CA","Oxnard, CA"
JW145951,"Oxnard, CA","Oxnard, CA"
AI300505,"Oxnard, CA","Oxnard, CA"
MX206112,"Oxnard, CA","Oxnard, CA"
SA273662,"Oxnard, CA","Oxnard, CA"
UU984721,"Oxnard, CA","Oxnard, CA"
DU481721,"Oxnard, CA","Oxnard, CA"
NU896247,"Oxnard, CA","Oxnard, CA"
JH901567,"Oxnard, CA","Oxnard, CA"
JS614262,"Oxnard, CA","Oxnard, CA"
TO625022,"Oxnard, CA","Oxnard, CA"
VV847816,"Oxnard, CA","Oxnard, CA"
LR197381,"Oxnard, CA","Oxnard, CA"
RL701966,"Oxnard, CA","Oxnard, CA"
TP693113,"Thousand Oaks, CA - West Hillcrest Drive",NA-US-CA-Thousand Oaks-West Hillcrest Drive-The Oaks-Macerich
QF285555,"Thousand Oaks, CA - West Hillcrest Drive",NA-US-CA-Thousand Oaks-West Hillcrest Drive-The Oaks-Macerich
CT793582,"Thousand Oaks, CA - West Hillcrest Drive",NA-US-CA-Thousand Oaks-West Hillcrest Drive-The Oaks-Macerich
NL970383,"Thousand Oaks, CA - West Hillcrest Drive",NA-US-CA-Thousand Oaks-West Hillcrest Drive-The Oaks-Macerich
SF180613,"Thousand Oaks, CA - West Hillcrest Drive",NA-US-CA-Thousand Oaks-West Hillcrest Drive-The Oaks-Macerich
FL390131,"Thousand Oaks, CA - West Hillcrest Drive",NA-US-CA-Thousand Oaks-West Hillcrest Drive-The Oaks-Macerich
TW779364,"Thousand Oaks, CA - West Hillcrest Drive",NA-US-CA-Thousand Oaks-West Hillcrest Drive-The Oaks-Macerich
FZ504282,"Thousand Oaks, CA - West Hillcrest Drive",NA-US-CA-Thousand Oaks-West Hillcrest Drive-The Oaks-Macerich
YR986772,"Thousand Oaks, CA - West Hillcrest Drive",NA-US-CA-Thousand Oaks-West Hillcrest Drive-The Oaks-Macerich
YN960139,"Thousand Oaks, CA - West Hillcrest Drive",NA-US-CA-Thousand Oaks-West Hillcrest Drive-The Oaks-Macerich
UK376373,"Thousand Oaks, CA - West Hillcrest Drive",NA-US-CA-Thousand Oaks-West Hillcrest Drive-The Oaks-Macerich
BT197247,"Thousand Oaks, CA - West Hillcrest Drive",NA-US-CA-Thousand Oaks-West Hillcrest Drive-The Oaks-Macerich
CR311112,"Thousand Oaks, CA - West Hillcrest Drive",NA-US-CA-Thousand Oaks-West Hillcrest Drive-The Oaks-Macerich
WJ483757,"Thousand Oaks, CA - West Hillcrest Drive",NA-US-CA-Thousand Oaks-West Hillcrest Drive-The Oaks-Macerich
JE630490,"Thousand Oaks, CA - West Hillcrest Drive",NA-US-CA-Thousand Oaks-West Hillcrest Drive-The Oaks-Macerich
MR664195,"Thousand Oaks, CA - West Hillcrest Drive",NA-US-CA-Thousand Oaks-West Hillcrest Drive-The Oaks-Macerich
AM261823,"Thousand Oaks, CA - West Hillcrest Drive",NA-US-CA-Thousand Oaks-West Hillcrest Drive-The Oaks-Macerich
AD717004,"Thousand Oaks, CA - West Hillcrest Drive",NA-US-CA-Thousand Oaks-West Hillcrest Drive-The Oaks-Macerich
DJ820852,"Thousand Oaks, CA - West Hillcrest Drive",NA-US-CA-Thousand Oaks-West Hillcrest Drive-The Oaks-Macerich
OK685382,"Thousand Oaks, CA - West Hillcrest Drive",NA-US-CA-Thousand Oaks-West Hillcrest Drive-The Oaks-Macerich
BZ781340,"Thousand Oaks, CA - East Thousand Oaks Boulevard",NA-US-CA-Thousand Oaks-The Promenade at Westlake
CI933366,"Thousand Oaks, CA - East Thousand Oaks Boulevard",NA-US-CA-Thousand Oaks-The Promenade at Westlake
EE892594,"Thousand Oaks, CA - East Thousand Oaks Boulevard",NA-US-CA-Thousand Oaks-The Promenade at Westlake
YY667341,"Thousand Oaks, CA - East Thousand Oaks Boulevard",NA-US-CA-Thousand Oaks-The Promenade at Westlake
UY758399,"Thousand Oaks, CA - East Thousand Oaks Boulevard",NA-US-CA-Thousand Oaks-The Promenade at Westlake
XH287416,"Thousand Oaks, CA - East Thousand Oaks Boulevard",NA-US-CA-Thousand Oaks-The Promenade at Westlake
BU517721,"Thousand Oaks, CA - East Thousand Oaks Boulevard",NA-US-CA-Thousand Oaks-The Promenade at Westlake
QU151380,"Thousand Oaks, CA - East Thousand Oaks Boulevard",NA-US-CA-Thousand Oaks-The Promenade at Westlake
SO529159,"Thousand Oaks, CA - East Thousand Oaks Boulevard",NA-US-CA-Thousand Oaks-The Promenade at Westlake
OK611610,"Thousand Oaks, CA - East Thousand Oaks Boulevard",NA-US-CA-Thousand Oaks-The Promenade at Westlake
GT329312,"Thousand Oaks, CA - East Thousand Oaks Boulevard",NA-US-CA-Thousand Oaks-The Promenade at Westlake
YY579772,"Thousand Oaks, CA - East Thousand Oaks Boulevard",NA-US-CA-Thousand Oaks-The Promenade at Westlake
HJ126268,"Thousand Oaks, CA - East Thousand Oaks Boulevard",NA-US-CA-Thousand Oaks-The Promenade at Westlake
IR419039,"Thousand Oaks, CA - East Thousand Oaks Boulevard",NA-US-CA-Thousand Oaks-The Promenade at Westlake
RH358743,"Thousand Oaks, CA - East Thousand Oaks Boulevard",NA-US-CA-Thousand Oaks-The Promenade at Westlake
DW629313,"Thousand Oaks, CA - East Thousand Oaks Boulevard",NA-US-CA-Thousand Oaks-The Promenade at Westlake
RB119877,"Thousand Oaks, CA - East Thousand Oaks Boulevard",NA-US-CA-Thousand Oaks-The Promenade at Westlake
MD788826,"Thousand Oaks, CA - East Thousand Oaks Boulevard",NA-US-CA-Thousand Oaks-The Promenade at Westlake
LR561162,"Thousand Oaks, CA - East Thousand Oaks Boulevard",NA-US-CA-Thousand Oaks-The Promenade at Westlake
HX607438,"Thousand Oaks, CA - East Thousand Oaks Boulevard",NA-US-CA-Thousand Oaks-The Promenade at Westlake
PN429564,"Thousand Oaks, CA - East Thousand Oaks Boulevard",NA-US-CA-Thousand Oaks-The Promenade at Westlake
CY638662,"Thousand Oaks, CA - East Thousand Oaks Boulevard",NA-US-CA-Thousand Oaks-The Promenade at Westlake
ZS629774,"Thousand Oaks, CA - East Thousand Oaks Boulevard",NA-US-CA-Thousand Oaks-The Promenade at Westlake
VS559736,"Thousand Oaks, CA - East Thousand Oaks Boulevard",NA-US-CA-Thousand Oaks-The Promenade at Westlake
FB611822,"Santa Clarita, CA",NA-US-CA-Santa Clarita-Newhall Ranch Road-Bridgeport Marketplace-Intertex
QH930697,"Santa Clarita, CA",NA-US-CA-Santa Clarita-Newhall Ranch Road-Bridgeport Marketplace-Intertex
